날짜,국고채(3년),국고채(10년),소비자물가지수,생산자물가지수,수출물가지수,수입물가지수,채권거래,한국(KOSPI),산업생산지수,원/미국달러,경상수지,주택매매가격지수,미국금리,한국금리
Jan-06,5.02,5.58,79.306,86.49,105.64,85.02,,"1,399.83",71.2,987.03,-0.8,67.559,4.5,3.75
Feb-06,4.87,5.28,79.464,86.53,103.54,84.06,,"1,371.59",70.3,970.22,-32.5,67.865,4.5,4
Mar-06,4.93,5.42,79.934,86.42,103.51,84.4,,"1,359.60",71.2,975.09,-16.3,68.3,4.75,4
Apr-06,4.95,5.45,80.013,86.58,102.3,85.64,,"1,419.73",70.9,954.44,-34.3,68.904,4.75,4
May-06,4.78,5.2,80.169,86.88,101.99,87.22,,"1,317.70",71.9,941.4,-0.4,69.608,5,4
Jun-06,4.89,5.25,80.013,86.72,103.5,88.02,,"1,295.15",71.3,955.16,21.9,69.94,5.25,4.25
Jul-06,4.89,5.16,80.326,86.99,103.51,89.25,,"1,297.82",67.5,950.15,-7,70.09,5.25,4.25
Aug-06,4.77,4.94,80.797,87.55,105.57,90.88,,"1,352.74",72.2,960.72,-15.4,70.26,5.25,4.5
Sep-06,4.69,4.89,81.032,87.84,104.85,87.72,,"1,371.41",73.2,953.68,30.9,70.599,5.25,4.5
Oct-06,4.62,4.79,80.64,87.03,103.66,86.63,,"1,364.55",76.7,954.23,26.9,71.549,5.25,4.5
Nov-06,4.72,4.91,80.248,86.61,101.2,85.26,,"1,432.21",75.6,936.22,44.6,73.77,5.25,4.5
Dec-06,4.82,4.95,80.483,86.53,100.11,85.32,,"1,434.46",72.6,925.75,3.3,75.145,5.25,4.5
Jan-07,4.97,5.04,80.64,86.54,99.64,83.84,"247,681.70","1,360.23",73.2,936.36,2.1,75.802,5.25,4.5
Feb-07,4.91,5.01,81.189,86.59,99.19,85.38,"276,847.60","1,417.34",74.4,937.02,-7.3,76.077,5.25,4.5
Mar-07,4.79,4.94,81.66,86.96,100.05,88.16,"314,789.20","1,452.55",73.7,943.26,-11.6,76.217,5.25,4.5
Apr-07,4.94,5.07,81.973,87.57,100.39,89.2,"288,727.40","1,542.24",75.3,931.5,-22.4,76.316,5.25,4.5
May-07,5.1,5.22,82.052,88.06,100.53,89.65,"257,473.90","1,700.91",76,927.91,-23,76.342,5.25,4.5
Jun-07,5.24,5.48,82.052,88.24,100.66,89.39,"352,884.00","1,743.60",75.9,928.32,15.8,76.445,5.25,4.5
Jul-07,5.35,5.52,82.366,88.35,100.79,89.37,"281,510.10","1,933.27",76.4,918.85,25.7,76.644,5.25,4.75
Aug-07,5.28,5.42,82.444,88.3,101.97,90.22,"307,265.90","1,873.24",78.8,933.8,22.2,76.789,5.25,5
Sep-07,5.39,5.52,82.915,88.72,102.11,92.3,"253,563.30","1,946.48",77.9,932.41,43.1,76.991,4.75,5
Oct-07,5.42,5.56,83.072,88.9,101.06,93.16,"351,176.30","2,064.85",81.4,915.86,19.1,77.188,4.5,5
Nov-07,5.54,5.61,83.072,89.27,102.98,96.94,"392,271.00","1,906.00",81.5,916.98,32.6,77.398,4.5,5
Dec-07,5.89,5.82,83.386,89.63,103.52,98.59,"189,760.00","1,897.13",80.7,930.24,8.2,77.507,4.25,5
Jan-08,5.44,5.56,83.777,90.13,105.42,101.59,"370,921.00","1,624.68",82.2,942.39,-6.9,77.72,3,5
Feb-08,5.06,5.28,84.092,90.97,106.66,104.35,"339,210.40","1,711.62",82.6,944.69,-22.4,77.958,3,5
Mar-08,5.15,5.36,84.876,92.15,113.44,112.86,"365,045.60","1,703.99",83.1,979.86,9.7,78.553,2.25,5
Apr-08,4.98,5.17,85.347,94.11,116.19,117.15,"324,710.70","1,825.47",83.7,986.66,-23.9,79.24,2,5
May-08,5.28,5.5,86.052,96,124.59,129.66,"355,006.50","1,852.02",82.9,"1,036.73",-17.4,79.721,2,5
Jun-08,5.7,5.89,86.601,97.54,126,133.15,"338,000.20","1,674.92",82.5,"1,029.27",-11.4,80.204,2,5
Jul-08,5.96,6.03,87.229,99.44,126.13,134.59,"324,497.30","1,594.67",81.8,"1,019.12",-22.6,80.517,2,5
Aug-08,5.77,5.91,87.072,99.16,124.32,128.67,"267,104.20","1,474.24",81.9,"1,041.54",-38.5,80.677,2,5.25
Sep-08,5.81,5.99,87.151,98.75,130.05,131.65,"253,102.60","1,448.06",80.6,"1,130.40",14.7,80.863,2,5.25
Oct-08,5.09,5.53,87.072,98.49,140.1,137.05,"198,190.60","1,113.06",80.2,"1,326.92",39,80.82,1,4.25
Nov-08,4.97,5.73,86.837,96.2,135.44,127.97,"260,125.00","1,076.07",71.7,"1,390.09",27.6,80.496,1,4
Dec-08,3.97,4.87,86.837,94.58,129.44,120.68,"344,153.20","1,124.47",63.8,"1,373.84",69.4,79.914,0.125,3
Jan-09,3.44,4.42,86.916,94.31,125.03,118.52,"358,717.30","1,162.11",65.2,"1,346.10",1.8,79.471,0.125,2.5
Feb-09,3.78,5.24,87.543,94.95,131.07,123.16,"429,652.70","1,063.03",70.7,"1,429.46",50.1,79.272,0.125,2
Mar-09,3.69,4.97,88.17,95.4,133.22,124.77,"541,786.10","1,206.26",73.5,"1,461.98",57.9,79.134,0.125,2
Apr-09,3.76,4.9,88.405,95.51,125.16,115.08,"450,129.40","1,369.36",76.3,"1,341.90",31.4,79.181,0.125,2
May-09,3.83,5.05,88.405,94.78,119.53,111.59,"341,417.70","1,395.89",77.3,"1,258.71",23.3,79.266,0.125,2
Jun-09,4.09,5.26,88.327,94.53,121.81,117.3,"525,191.40","1,390.07",80.5,"1,261.35",40.6,79.42,0.125,2
Jul-09,4.09,5.18,88.641,95.61,122.68,117.27,"420,152.80","1,557.29",82.3,"1,263.97",19.9,79.636,0.125,2
Aug-09,4.42,5.44,88.955,96.16,122.94,119.68,"435,096.40","1,591.85",83,"1,238.40",11.7,79.888,0.125,2
